,id,BoxOffice
292,biodome,$12.2M
293,beach,$39.8M
294,the_inventor_out_for_blood_in_silicon_valley,
295,still_mine,$1.2M
296,neon_bull,$23.0K
297,red,$90.4M
298,babylon,$109.7K
299,the_witches_2020,
300,commune,
301,such_a_long_journey_2000,$185.5K
302,brittany_runs_a_marathon,$7.1M
303,lorenzos_oil,$6.9M
304,beguiled,
305,war_inc,$578.5K
306,blancanieves,$218.8K
307,dare_to_be_wild,
308,the_boss_baby,$174.9M
309,strange_world,$38.0M
310,stargirl,
311,danger_close_2019,
312,donnybrook,$14.7K
313,family_fundamentals,
314,waking_the_dead,$327.4K
315,nanook_of_the_north,
316,the_deep_house,
317,blank-city,$116.0K
318,hostel_2,$17.5M
319,for_greater_glory,$5.7M
320,summer_night_2019,
321,hocus_pocus,$1.7M
322,spenser_confidential,
323,two_for_the_road,
324,jalsaghar,
325,sandy_wexler,
326,longshots,$11.5M
327,10010077-felon,
328,haxan,
329,the_world_2005,$3.6K
330,howling_iii_the_marsupials,
331,sea_inside,$2.1M
332,hatchet,
333,the_fountain,$10.1M
334,1091981-fireworks,$413.5K
335,puss_in_boots_the_last_wish,$185.5M
336,apollo_11_2019,$9.0M
337,the_frisco_kid,
338,this_film_is_not_yet_rated,$302.2K
339,mckellen_playing_the_part,
340,u_want_me_2_kill_him,
341,stuff,
342,1208102-unmade_beds,
343,the_incredible_burt_wonderstone,$22.5M
344,father_figures_2017,$16.8M
345,farewell_my_concubine,$332.2K
346,the_jesus_music,$991.7K
347,1097259-road_trip,$68.5M
348,bronco_billy,
349,insidious_chapter_3_2015,$52.2M
350,1002178-best_of_times,$5.8M
351,clara_2019,
352,the_turning_2020,$15.5M
353,citizen_jane_battle_for_the_city,$305.0K
354,lies_we_tell,
355,10007898-slipstream,$6.3K
356,1023854-witness,$65.3M
357,east_is_east,$4.2M
358,sky_ladder_the_art_of_cai_guo_qiang_2016,
359,dirty_girl_2011,$53.6K
360,the_price_of_everything,$85.3K
361,summers_tale,$198.1K
362,go_for_zucker,$86.6K
363,shotgun_stories,$45.7K
364,lula_the_son_of_brazil,
365,quincy,
366,free_willy,$76.3M
367,the_zero_theorem,$219.4K
368,fear_street_part_two_1978,
369,leviathan_2012,$8.9K
370,here_comes_the_devil,$4.5K
371,red_hook_summer,$334.7K
372,head_games_2012,$11.2K
373,love_ranch,$134.9K
374,wrongfully_accused,$9.6M
375,shadowboxer,$370.6K
376,emily_the_criminal,$2.2M
377,bone_tomahawk,
378,our_time_2018,$2.6K
379,cam,
380,derrida,$156.3K
381,berberian_sound_studio_2012,$24.3K
382,to_live,$2.2M
383,the_last_5_years,$51.5K
384,valentino_the_last_emperor,$1.8M
385,till_human_voices_wake_us,$120.1K
386,beasts_clawing_at_straws,
387,jupiter_ascending_2014,$47.4M
388,chronicles_of_narnia_lion_witch_wardrobe,$291.7M
389,the_art_of_the_steal,$39.7K
390,witches_of_eastwick,$58.7M
391,zatoichi_2003,$853.7K
392,1151490-bomb_the_system,$14.9K
393,deadwood_the_movie,
394,day_of_the_locust,
395,grand_theft_auto,
396,vanya_on_42nd_street,$501.5K
397,vs_2018,
398,1216067-fifty_dead_men_walking,
399,the_thief_of_bagdad,
400,tuck_everlasting,$19.2M
401,in_a_world_2013,$3.0M
402,nicotina,$1.1M
403,mayhem_2017,
404,17_blocks,
405,holly,
406,soldiers_story,
407,the_reagan_show,
408,unlocked_2017,
409,maze,$26.9K
410,the_velvet_queen,
411,eel,$413.8K
412,hotel_transylvania,$167.9M
413,the_chateau,$202.3K
414,maybe_i_do,
415,snowpiercer,$4.6M
416,the_man_from_london,
417,marshall,$10.0M
418,cats_meow,$3.2M
419,1213731-worlds_greatest_dad,$221.2K
420,breaking_in_2018,$46.3M
421,1023717-willard,
422,on_the_outs,
423,approaching_the_unknown,
424,get_real,$1.2M
425,mademoiselle_chambon,$530.4K
426,return_of_the_dragon,
427,the_dirt_2019,
428,the_ritual_2017,
429,the_treasure_2016,$33.5K
430,poltergeist_iii,$13.1M
431,this_thing_of_ours,
432,big_eden,$511.2K
433,bitter_harvest_2017,$557.0K
434,garmento,
435,lost_illusions_2021,$124.6K
436,mission_impossible_rogue_nation,
437,bolt,$114.1M
438,national_treasure_book_of_secrets,$220.0M
439,selfless_2015,$12.3M
440,roommates,$12.1M
441,zombie,
442,1211532-friends_of_eddie_coyle,
443,dark_star_hr_gigers_world_2015,
444,pecker,$2.3M
445,kingsman_the_secret_service,$128.2M
446,kiss_me_deadly,$882
447,the_swimmers_2022,
448,of_fathers_and_sons,$12.4K
449,sesame_street_presents_follow_that_bird,
450,plan-9-from-outer-space,
451,college_road_trip,$45.6M
452,before_i_fall,$12.2M
453,letters-to-father-jacob,
454,young_sherlock_holmes,$18.1M
455,words_on_bathroom_walls,$2.5M
456,heaven,$774.3K
457,robin_hood_prince_of_thieves,$165.1M
458,leto,
459,a_private_war,$1.6M
460,hotel_rwanda,$23.5M
461,i_never_cry,
462,dirty_wars_2013,$365.6K
463,the_occupant_2020,
464,1221112-che,$1.7M
465,shes_the_man,$33.7M
466,vita_and_virginia,$32.8K
467,1212593-end_of_the_line,
468,the_blue_angel,
469,emma_2020,$9.9M
470,tucker_the_man_and_his_dream,$19.2M
471,dolores_claiborne,$22.8M
472,shottas,
473,1073023-house_arrest,$7.0M
474,dirty_rotten_scoundrels,$40.9M
475,madonna_truth_or_dare,$12.9M
476,monkey_shines_an_experiment_in_fear,$4.8M
477,whitney_can_i_be_me,
478,blue_bayou_2021,$645.8K
479,acasa_my_home,
480,the_story_of_qiu_ju_1992,$25.8K
481,our_man_in_tehran,$3.6K
482,sing_2,$162.7M
483,over_the_moon_2020,
484,dont_be_a_menace,$18.5M
485,leprechaun_2,
486,map_of_the_human_heart,$2.4M
487,sum_of_all_fears,$118.5M
488,redcon_1,
489,chasing_madoff,
490,sisters_in_law,$32.6K
491,alive_2020,
492,gonzo-the-life-and-work-of-dr-hunter-s-thompson,$1.3M
493,bright,
494,22_bullets,
495,1012647-long_days_journey_into_night,
496,the_shape_of_water_2017,$63.3M
497,almost_famous,$32.5M
498,the_spectacular_now,$6.9M
499,filth_and_wisdom,$22.4K
500,changeling,
501,palio,
502,helvetica,
503,chained_for_life_2018,$17.4K
504,dragon_the_bruce_lee_story,$34.9M
505,genius_within,$166.8K
506,rosaline,
507,the_tale,
508,the_violent_heart,
509,good_german,$1.3M
510,1010978-jazz_singer,
511,shaolin,$64.3K
512,knocked_for_six,
513,final_analysis,$27.0M
514,lawless_heart,$330.1K
515,harts_war,$19.1M
516,breakfast_club,
517,the_grey_fox,
518,crimson_pirate,
519,vera_cruz,
520,broken_english-1996,$540.5K
521,wonderland_2000,$413.6K
522,mr_mom,
523,country_bears,$17.0M
524,wah_wah,$233.1K
525,christmas_bloody_christmas,$251.6K
526,the_sunlit_night,
527,rudolph_the_red_nosed_reindeer_1964,
528,the-9th-company,
529,empire_of_the_ants,
530,song_of_the_sea_2014,$850.0K
531,shoot_the_piano_player,
532,rabid,
533,identifying_features,
534,scenic_route,
535,slaughter_rule,$13.1K
536,1212910-warrior,$13.7M
537,how_to_train_your_dragon_the_hidden_world,$160.8M
538,fire_in_the_sky,$19.6M
539,my_family,$11.1M
540,cog,$32.2K
541,hot_fuzz,$23.6M
542,1114691-circuit,$263.1K
543,kinky_boots,$1.8M
544,nativity_2,
545,1156352-adam_and_steve,$309.4K
546,fatima_2020,$130.0K
547,poetic_justice,$27.5M
548,the_great_flood_2012,$9.9K
549,slumber_party_massacre_2021,
550,tolkien,$4.5M
551,a_walk_among_the_tombstones,$26.0M
552,dazed_and_confused,$8.0M
553,parallel_mothers,$2.3M
554,the_bloodhound,
555,to_the_bone,
556,rio,
557,les_femmes_du_6e_etage_2011,$719.6K
558,don_jon,$24.5M
559,happiest_season,
560,solomon-gaenor,$301.8K
561,austin_powers_in_goldmember,$213.1M
562,sand_storm,$64.0K
563,the_host_2007,$2.2M
564,golden_age,$16.3M
565,friday_night_lights,$61.2M
566,monster_trucks_2017,$33.2M
567,porn_star_the_legend_of_ron_jeremy,$419.6K
568,childs_play_2019,$29.2M
569,1007739-foul_play,
570,through_the_fire,$22.1K
571,birdwatchers,
572,zoology,
573,my_summer_of_love,$992.2K
574,1017699-robin_hood,
575,airheads,$4.9M
576,the_story_of_film_a_new_generation,
577,maid_in_manhattan,$93.8M
578,upstream_color,$415.1K
579,losing_isaiah,$3.7M
580,jezebel_2019,
581,friday_the_13th_part_2,
582,shadow_2018,$521.4K
583,manufacturing-dissent,
584,together,$1.1M
585,wing_commander,$11.6M
586,radium_girls,
587,battle_of_the_sexes,$12.6M
588,rock_the_kasbah,$3.0M
589,the_horseman_2008,
590,here_comes_mr_jordan,
591,celluloid_closet,$1.4M
592,welcome_to_mooseport,$14.5M
593,1078021-contact,$100.9M
594,bad_dreams,$8.9M
595,medallion,$22.1M
596,the_incredible_hulk,$134.5M
597,facing_windows,$541.7K
598,10006485-black_gold,$93.5K
599,kill_switch_2017,
600,homicide_1991,$1.9M
601,1010004-hound_of_the_baskervilles,
602,talented_mr_ripley,$81.3M
603,the_smurfs,$142.6M
604,mrs_harris_goes_to_paris,$10.3M
605,10010518-who_do_you_love,
606,ella_enchanted,$22.9M
607,the_possession,$49.1M
608,birds_of_passage_2019,$507.3K
609,1021015-ten_commandments,
610,beware_of_mr_baker,$114.3K
611,the_nest_2020,$137.4K
612,loss_of_a_teardrop_diamond,$119.4K
613,adventures_of_rocky_and_bullwinkle,$26.0M
614,lost_river_2015,$45.4K
615,miss_bala_2019,$15.0M
616,frankensteins_army,
617,johnny-got-his-gun2008,
618,moderns,$20.3K
619,p2,$4.0M
620,get_rich_or_die_tryin,$31.0M
621,transporter,$25.3M
622,fox_and_the_hound,$23.6M
623,the_quarry_2020,
624,element_of_crime,
625,monty_python_and_the_holy_grail,$1.8M
626,beats_2020,
627,women_without_men,$176.0K
628,i_carry_you_with_me,$166.0K
629,dolittle,$77.0M
630,culdesac,
631,red_corner,$22.4M
632,grzeli_nateli_dgeebi,$55.7K
633,living_in_oblivion,$48.0K
634,happy_feet_two,$64.0M
635,seabiscuit,$120.1M
636,working_man,
637,terror_2015,
638,the_adam_project,
639,son_of_god_2014,$59.7M
640,the_big_picture_2012,$158.4K
641,the_great_invisible,$10.0K
642,kwaidan,
643,wasabi,$81.5K
644,nothing_but_a_man,$12.4K
645,batman_returns,$160.3M
646,most_dangerous_game,
647,men_dont_leave,$5.8M
648,deja_vu,$64.0M
649,mank,
650,the_wind_rises,
651,swamp_thing,
652,the_free_world,
653,peppermint_2018,$35.4M
654,1000617-aliens,$77.6M
655,sinister_2,$27.7M
656,heavens_gate,
657,blood_diamond,$57.4M
658,godzilla-mothra-and-king-ghidorah-giant-monsters-allout-attack,
659,pet_sematary_2019,$54.7M
660,life_above_all_2010,$134.1K
661,ptu,
662,unmistaken_child,$302.7K
663,the_girl_with_all_the_gifts,
664,a_classic_horror_story,
665,multiple_sarcasms,$28.9K
666,the_rape_of_europa,
667,making_mr_right,$444.8K
668,a_good_old_fashioned_orgy,$154.6K
669,whole_ten_yards,$16.3M
670,american_violet,$552.9K
671,night_of_the_living_dead,$68.7K
672,automata,
673,adult_life_skills,
674,caterina_in_the_big_city,$293.3K
675,bill_nye_science_guy,$22.8K
676,after_yang,
677,lbs,$27.3K
678,barbarella,
679,future_shock_the_story_of_2000ad,
680,dashcam,
681,dead_ringers,$8.3M
682,nekrotronic,
683,36_vues_du_pic_saint_loup,$31.0K
684,burnt,$13.7M
685,dallas-362,$18.9K
686,exorcist_ii_the_heretic,
687,day_of_wrath_1948,
688,campfire_2004,$32.1K
689,lucie_aubrac,$461.2K
690,the_well_diggers_daughter,$385.4K
691,keeping_up_with_the_joneses,$14.9M
692,10012058-prodigal_sons,$73.2K
693,pvt_chat,
694,im_your_man_2021,$274.4K
695,kids_in_love,
696,1083484-blade,$70.0M
697,this_filthy_world,
698,sholem_aleichem_laughing_in_the_darkness_2011,$906.7K
699,1020312-stray_dog,
700,abe_2019,
701,winter_soldier_1972,
702,in_front_of_your_face,
703,our_hospitality,
704,battle_for_the_planet_of_the_apes,
705,what_ever_happened_to_baby_jane,
706,annihilation,$32.7M
707,siddhartha,
708,dont_let_go_2019,$5.2M
709,i_shot_andy_warhol,$1.8M
710,1010979-jazz_singer,
711,gun_in_betty_lous_handbag,$3.6M
712,and_while_we_were_here,
713,megamind,$148.3M
714,10007902-delirious,$86.0K
715,the_deer_king,
716,1018318-scarecrow,
717,1008588-gone_in_60_seconds,
718,bright_leaves,$77.9K
719,fire_of_love,$1.1M
720,poultrygeist-night-of-the-chicken-dead,$23.0K
721,snatchers,
722,the_school_of_flesh,$401.8K
723,in_the_mood_for_love_2001,$535.2K
724,pcu,$4.3M
725,traitor,$23.5M
726,all_this_panic,
727,alis_wedding,
728,armored,$16.0M
729,the_death_of_stalin,$8.0M
730,disturbia,$80.1M
731,mine,
732,naked_in_ashes,
733,1056359-head,
734,joueuse,$478.6K
735,watcher_2022,$2.0M
736,shirkers,
737,a_monster_calls,$2.2M
738,phoenix_2015,$3.2M
739,sissy,
740,woody_allen_a_documentary,
741,gotcha,
742,adopt_a_highway,
743,10008423-cool_school,
744,stand_up_guys,$3.3M
745,the_missing_picture,$51.6K
746,michael-jordan-to-the-max,$18.6M
747,young_guns_2,$40.4M
748,bad_tales,
749,justice_league_2017,$227.0M
750,eat_pray_love,$80.6M
751,secret_in_their_eyes_2015,$20.2M
752,nothing_but_the_truth_2008,$3.0K
753,collide_2017,$2.2M
754,blind_revenge,
755,the_amazing_johnathan_documentary,
756,woman_in_gold,$33.3M
757,foreign_correspondent,
758,scandalous_the_untold_story_of_the_national_enquirer,$18.2K
759,low_tide_2018,
760,the_roundup_2022,$1.1M
761,i_didnt_see_you_there,
762,national_lampoons_vacation,
763,1018702-shaggy_dog,
764,a_futile_and_stupid_gesture,
765,project_rebirth_2010,$12.3K
766,i_still_know_what_you_did_last_summer,$40.0M
767,easy-a,$58.4M
768,new_jack_city,$44.1M
769,a_ha_the_movie,
770,the_illusionist-2009,$2.2M
771,game_over_kasparov_and_the_machine_2004,
772,salvation_boulevard,$27.4K
773,baisemoi,$271.4K
774,all_i_see_is_you,$5.8K
775,the_infernal_machine,
776,kissed,$465.4K
777,maronas_fantastic_tale,
778,being_julia,$7.7M
779,judgment_night,$11.8M
780,luther_the_fallen_sun,
781,swinging_safari,
782,transamerica,$9.0M
783,ringmaster,$9.2M
784,jaws,$272.2M
785,aftershock_2013,$40.2K
786,conan_obrien_cant_stop_2011,$267.5K
787,sweet_dreams_2016,
788,revenge_2018,$99.9K
789,im_not_scared,$1.6M
790,gia,
791,afterschool,$2.6K
792,miss_julie_2014,
793,one_false_move,$44.5K
794,nico_1988,$73.3K
795,silk_road,
796,skinamarink,$2.0M
797,montparnasse_bienvenue,
798,summerland_2020,$58.3K
799,amen,$274.3K
800,yakuza_apocalypse,
801,deadly_friend,$8.9M
802,a_ghost_waits,
803,sex_tape_2014,$38.5M
804,the_pretty_one_2013,$11.2K
805,batman_mask_of_the_phantasm,$5.0M
806,1185734-innocence,
807,the_long_walk,
808,taking_woodstock,$7.4M
809,journey_to_the_center_of_the_earth,
810,japon,
811,1003531-captains_courageous,
812,jane_got_a_gun,$1.5M
813,a_perfect_day,
814,mary_queen_of_scots,$16.4M
815,paris_manhattan,
816,dior_and_i,$1.0M
817,kuso,
818,memory_box,
819,the_institute,
820,drift_2013,
821,cockneys_vs_zombies,
822,un_triomphe,
823,last_emperor,$43.0M
824,raavanan,
825,1004177-cimarron,
826,marebito,$13.9K
827,the_intern,$75.6M
828,presidents_analyst,
829,jig,$157.5K
830,burning_sands_2017,
831,the_lucky_one_2012,$60.4M
832,last_vegas_2013,$63.9M
833,the_clovehitch_killer,$8.2K
834,midsommar,$27.4M
835,unmarried_woman,
836,bewitched,$62.3M
837,weekend_at_bernies_ii,$11.2M
838,arsenic_and_old_lace,
839,son_of_kong,
840,every_secret_thing,$97.0K
841,dancing_in_jaffa_2013,$134.5K
842,ra_one_2011,$2.5M
843,carnage,$2.5M
844,unlocking_the_cage,$26.6K
845,1111645-behind_enemy_lines,$58.9M
846,holy_land,$586.4K
847,dr_no,
848,path_of_blood,
849,class_of_1984,
850,strange_powers_stephin_merritt_and_the_magnetic_fields,$68.1K
851,1005360-day_of_the_dead,
852,wolves,
853,the_way_2011,$44.7K
854,gridlockd,$5.5M
855,1075251-that_darn_cat,$18.3M
856,heist_2015,$47.2K
857,the_lord_of_the_rings_the_return_of_the_king,$377.8M
858,look_both_ways_2022,
859,american_beauty,$130.1M
860,iron_giant,
861,under_the_shadow,$25.8K
862,tetris,
863,cop_secret,
864,abyss,$54.3M
865,les_miserables_2012,$149.2M
866,sollers_point,$29.4K
867,unrest_2017,$24.9K
868,max_payne,$40.7M
869,a_lonely_place_to_die_2011,
870,the_go_getter_2008,
871,stop_and_go,
872,transformers_the_movie,$319.0M
873,striking_distance,$23.8M
874,one_true_thing,$23.3M
875,with_all_deliberate_speed_the_legacy_of_brown_vs_board,$4.9K
876,hellraiser_2022,
877,good_luck_to_you_leo_grande,
878,post_tenebras_lux_2012,$38.9K
879,devils_backbone,$754.7K
880,widow_of_st_pierre,$3.2M
881,1059487-nobodys_fool,$38.3M
882,the_clay_bird,
883,the_catcher_was_a_spy,$706.6K
884,g,$3.0M
885,heavy_traffic,
886,the_dreamlife_of_angels,$1.7M
887,cherish,$160.3K
888,redeeming_love,$9.2M
889,land_ho,$727.4K
890,days_of_glory_2007,$317.6K
891,lawrence_of_arabia,$6.0M
892,garfield,$75.4M
893,the_horde,
894,lake_placid,$31.8M
895,kill_bill_vol_1,$70.1M
896,along_came_polly,$87.9M
897,roman_j_israel_esq,$11.7M
898,jackals_2017,
899,zombeavers,$8.2K
900,under_the_skin,$81.0K
901,september_issue,$3.8M
902,ladies_in_lavender,$6.8M
903,1090027-black_and_white,
904,disorder_2016,$39.7K
905,10012068-repo_men,$13.8M
906,chitty_chitty_bang_bang,
907,spin_me_round,
908,a_ciambra,$17.4K
909,yella,
910,i_want_your_love_2012,
911,westwood_punk_icon_activist,
912,les_notres,
913,krisha_2016,$140.8K
914,jeremiah_tower_the_last_magnificent,$227.1K
915,mission_impossible,$180.9M
916,la_grande_illusion,$516.5K
917,harmontown,
918,boxcar_bertha,
919,easter_parade,
920,rogue_trader,
921,nims_island,$48.0M
922,the_iron_lady,$30.0M
923,detention_2011,
924,gangs_of_new_york,
925,innocent_blood,$4.2M
926,savage_grace,$434.4K
927,in_a_lonely_place,
928,longest_day,
929,death_at_a_funeral_2010,$42.7M
930,little_big_soldier,
931,miss_hokusai,$176.0K
932,how_high,$31.2M
933,aurora_2011,$5.6K
934,25th_hour,$13.1M
935,1124832-divorce,$9.1M
936,doing_time_doing_vipassana,
937,adopting_audrey,
938,1062174-mad_love,$15.5M
939,film_unfinished,$311.5K
940,mom_and_dad_save_the_world,$1.8M
941,american_factory,
942,just_go_with_it_2010,$103.0M
943,10012141-kids_are_all_right,$20.8M
