,id,BoxOffice
441,for_those_in_peril_2014,
442,1002512-black_rain,44900000.0
443,never_cry_wolf,
444,t2_trainspotting,2400000.0
445,swimming_upstream,47200.0
446,words_and_pictures,2200000.0
447,be_here_to_love_me_a_film_about_townes_van_zandt,129400.0
448,muscle_shoals_2013,695600.0
449,ratcatcher,216800.0
450,solas,367900.0
451,the_wilderness_of_james,
452,the_american_side,
453,virgin_suicides,4900000.0
454,dont_worry_he_wont_get_far_on_foot,1400000.0
455,another_round,
456,player,21700000.0
457,the_oscar_nominated_short_films_animation,
458,the_northman,34200000.0
459,100_bloody_acres_2013,6200.0
460,the_puffy_chair,192500.0
461,mid_august_lunch,673700.0
462,miss_pettigrew_lives_for_a_day,12300000.0
463,body_of_evidence,13700000.0
464,backcountry,
465,spirit_stallion_of_the_cimarron,73200000.0
466,ethan_frome,161400.0
467,pacific_heights,27900000.0
468,the_bay_of_silence,
469,happy_happy_joy_joy_the_ren_and_stimpy_story,
470,transsiberian,2200000.0
471,big_stone_gap,1000000.0
472,severance,136400.0
473,the_rape_of_recy_taylor,
474,skull_the_mask,
475,holidate,
476,palo_alto,750100.0
477,luv_2011,151100.0
478,shame_2011,4000000.0
479,ben_hur_2016,26400000.0
480,memoria_2021,52700.0
481,the_other_side_of_the_door,3000000.0
482,the_russian_woodpecker,
483,the_truffle_hunters,520400.0
484,everything_must_go,2700000.0
485,i_frankenstein,19100000.0
486,wild_indian,
487,mr-right,
488,queen_of_hearts_2019,
489,donald_cried,61000.0
490,passion_fish,2400000.0
491,oklahoma,
492,1226860-losers,23600000.0
493,sweet_home_alabama,127200000.0
494,1010174-hud,
495,the_mule_2018,103800000.0
496,the_vatican_tapes_2015,1800000.0
497,the_beguiled,10500000.0
498,way_home,444900.0
499,queen_margot,11300.0
500,the_matchmaker_2010,
501,war_of_the_worlds,234300000.0
502,electrick_children,
503,1117377-all_or_nothing,112900.0
504,hors_la_loi_2010,
505,maquia_when_the_promised_flower_blooms,
506,vortex_2021,
507,reverb,
508,unforgettable_2017,11300000.0
509,the_angels_share,304400.0
510,bubble_boy,5000000.0
511,summer_03,11700.0
512,the_letters_2015,1600000.0
513,lock_stock_and_two_smoking_barrels,3700000.0
514,pistol_opera,
515,the_gray_man_2022,
516,tokyo_tribe_2014,
517,drive_my_car,2300000.0
518,i_love_my_dad,100100.0
