,name,original_name,popularity,gender,id,known_for_department,adult
150,Kaya Scodelario,Kaya Scodelario,74.901,1,115150,Acting,False
151,Rachel Weisz,Rachel Weisz,74.835,1,3293,Acting,False
152,Alice Braga,Alice Braga,74.572,1,8602,Acting,False
153,Leighton Meester,Leighton Meester,74.522,1,85825,Acting,False
154,Kiefer Sutherland,Kiefer Sutherland,74.514,2,2628,Acting,False
155,Kevin Durand,Kevin Durand,74.439,2,79072,Acting,False
156,Freya Allan,Freya Allan,74.414,1,2146942,Acting,False
157,George Clooney,George Clooney,74.27,2,1461,Acting,False
158,Patrick Wilson,Patrick Wilson,74.011,2,17178,Acting,False
159,Emilia Clarke,Emilia Clarke,73.855,1,1223786,Acting,False
160,Nathan Fillion,Nathan Fillion,73.651,2,51797,Acting,False
161,Yoo Ji-hyun,Yoo Ji-hyun,73.563,1,3424435,Acting,False
162,Alain Delon,Alain Delon,73.475,2,15135,Acting,False
163,Olivia Cooke,Olivia Cooke,73.458,1,1173984,Acting,False
164,Nathalie Emmanuel,Nathalie Emmanuel,73.372,1,1251069,Acting,False
165,Tobey Maguire,Tobey Maguire,73.316,2,2219,Acting,False
166,Brad Pitt,Brad Pitt,73.232,2,287,Acting,False
167,Samuel L. Jackson,Samuel L. Jackson,73.183,2,2231,Acting,False
168,Karl Urban,Karl Urban,72.848,2,1372,Acting,False
169,Blake Lively,Blake Lively,72.748,1,59175,Acting,False
170,Emma Watson,Emma Watson,72.617,1,10990,Acting,False
171,Robert De Niro,Robert De Niro,72.451,2,380,Acting,False
172,Laurence Fishburne,Laurence Fishburne,72.444,2,2975,Acting,False
173,Willem Dafoe,Willem Dafoe,72.441,2,5293,Acting,False
174,Isabella Rossellini,Isabella Rossellini,72.389,1,6588,Acting,False
175,Yoon Yool,Yoon Yool,72.27,1,3164807,Acting,False
176,Rika,Rika,72.246,1,3165040,Acting,False
177,Chris Evans,Chris Evans,72.136,2,16828,Acting,False
178,Kang Eun-hye,Kang Eun-hye,72.065,1,1468490,Acting,False
179,Giancarlo Esposito,Giancarlo Esposito,72.007,2,4808,Acting,False
180,Dina Meyer,Dina Meyer,71.764,1,2133,Acting,False
181,James McAvoy,James McAvoy,71.724,2,5530,Acting,False
182,Abhishek Chauhan,Abhishek Chauhan,71.609,2,2489738,Acting,False
183,Hailee Steinfeld,Hailee Steinfeld,71.589,1,130640,Acting,False
184,Amber Heard,Amber Heard,71.583,1,55085,Acting,False
185,Haley Bennett,Haley Bennett,71.536,1,58754,Acting,False
186,Adèle Exarchopoulos,Adèle Exarchopoulos,71.474,1,586757,Acting,False
187,Viggo Mortensen,Viggo Mortensen,71.307,2,110,Acting,False
188,Nina Dobrev,Nina Dobrev,71.26,1,19961,Acting,False
189,Thomas Brodie-Sangster,Thomas Brodie-Sangster,71.244,2,25663,Acting,False
190,Amy Adams,Amy Adams,71.241,1,9273,Acting,False
